"","A","B"
"51462","MAR06026","SLC16A3"
"61145","MAR06026","SLC16A1"
"7904","MAR06026","SLC16A4"
"8767","MAR06026","SLC16A5"
"26589","MAR06027","SLC16A8"
"32984","MAR06027","SLC16A6"
"41971","MAR06027","SLC16A7"
"51463","MAR06027","SLC16A3"
"61146","MAR06027","SLC16A1"
"7905","MAR06027","SLC16A4"
"8768","MAR06027","SLC16A5"
"26590","MAR06028","SLC16A8"
"32985","MAR06028","SLC16A6"
"41972","MAR06028","SLC16A7"
"51464","MAR06028","SLC16A3"
"61147","MAR06028","SLC16A1"
"7906","MAR06028","SLC16A4"
"8769","MAR06028","SLC16A5"
"26591","MAR06029","SLC16A8"
"32986","MAR06029","SLC16A6"
"41973","MAR06029","SLC16A7"
"51465","MAR06029","SLC16A3"
"61148","MAR06029","SLC16A1"
"7907","MAR06029","SLC16A4"
"8770","MAR06029","SLC16A5"
"26592","MAR06030","SLC16A8"
"32987","MAR06030","SLC16A6"
"41974","MAR06030","SLC16A7"
"51466","MAR06030","SLC16A3"
"61149","MAR06030","SLC16A1"
"7908","MAR06030","SLC16A4"
"8771","MAR06030","SLC16A5"
"26593","MAR06031","SLC16A8"
"32988","MAR06031","SLC16A6"
"41975","MAR06031","SLC16A7"
"51467","MAR06031","SLC16A3"
"61150","MAR06031","SLC16A1"
"7909","MAR06031","SLC16A4"
"8772","MAR06031","SLC16A5"
"26594","MAR06032","SLC16A8"
"32989","MAR06032","SLC16A6"
"41976","MAR06032","SLC16A7"
"51468","MAR06032","SLC16A3"
"61151","MAR06032","SLC16A1"
"7911","MAR06032","SLC16A4"
"8773","MAR06032","SLC16A5"
"26595","MAR06033","SLC16A8"
"32990","MAR06033","SLC16A6"
"41977","MAR06033","SLC16A7"
"51469","MAR06033","SLC16A3"
"61152","MAR06033","SLC16A1"
"7912","MAR06033","SLC16A4"
"8774","MAR06033","SLC16A5"
"26596","MAR06034","SLC16A8"
"32991","MAR06034","SLC16A6"
"41978","MAR06034","SLC16A7"
"51470","MAR06034","SLC16A3"
"61153","MAR06034","SLC16A1"
"7913","MAR06034","SLC16A4"
"8775","MAR06034","SLC16A5"
"26597","MAR06035","SLC16A8"
"32992","MAR06035","SLC16A6"
"41979","MAR06035","SLC16A7"
"51471","MAR06035","SLC16A3"
"61154","MAR06035","SLC16A1"
"7914","MAR06035","SLC16A4"
"8776","MAR06035","SLC16A5"
"26598","MAR06036","SLC16A8"
"32993","MAR06036","SLC16A6"
"41980","MAR06036","SLC16A7"
"51472","MAR06036","SLC16A3"
"61155","MAR06036","SLC16A1"
"7915","MAR06036","SLC16A4"
"8777","MAR06036","SLC16A5"
"26599","MAR06037","SLC16A8"
"32994","MAR06037","SLC16A6"
"41981","MAR06037","SLC16A7"
"51473","MAR06037","SLC16A3"
"61156","MAR06037","SLC16A1"
"7916","MAR06037","SLC16A4"
"8778","MAR06037","SLC16A5"
"26600","MAR06038","SLC16A8"
"32995","MAR06038","SLC16A6"
"41982","MAR06038","SLC16A7"
"51474","MAR06038","SLC16A3"
"61157","MAR06038","SLC16A1"
"7917","MAR06038","SLC16A4"
"8779","MAR06038","SLC16A5"
"26601","MAR06039","SLC16A8"
"32996","MAR06039","SLC16A6"
"41983","MAR06039","SLC16A7"
"51475","MAR06039","SLC16A3"
"61158","MAR06039","SLC16A1"
"7918","MAR06039","SLC16A4"
"8780","MAR06039","SLC16A5"
"26602","MAR06040","SLC16A8"
"32997","MAR06040","SLC16A6"
"41984","MAR06040","SLC16A7"
"51476","MAR06040","SLC16A3"
"61159","MAR06040","SLC16A1"
"7919","MAR06040","SLC16A4"
"8781","MAR06040","SLC16A5"
"26603","MAR06041","SLC16A8"
"32998","MAR06041","SLC16A6"
"41985","MAR06041","SLC16A7"
"51477","MAR06041","SLC16A3"
"61160","MAR06041","SLC16A1"
"7920","MAR06041","SLC16A4"
"8782","MAR06041","SLC16A5"
"26604","MAR06042","SLC16A8"
"32999","MAR06042","SLC16A6"
"41986","MAR06042","SLC16A7"
"51478","MAR06042","SLC16A3"
"61161","MAR06042","SLC16A1"
"7921","MAR06042","SLC16A4"
"8783","MAR06042","SLC16A5"
"26605","MAR06043","SLC16A8"
"33000","MAR06043","SLC16A6"
"41987","MAR06043","SLC16A7"
"51479","MAR06043","SLC16A3"
"61162","MAR06043","SLC16A1"
"7922","MAR06043","SLC16A4"
"8784","MAR06043","SLC16A5"
"26606","MAR06044","SLC16A8"
"33001","MAR06044","SLC16A6"
"41988","MAR06044","SLC16A7"
"51480","MAR06044","SLC16A3"
"61163","MAR06044","SLC16A1"
"7923","MAR06044","SLC16A4"
"8785","MAR06044","SLC16A5"
"26607","MAR06045","SLC16A8"
"33002","MAR06045","SLC16A6"
"41989","MAR06045","SLC16A7"
"51481","MAR06045","SLC16A3"
"61164","MAR06045","SLC16A1"
"7924","MAR06045","SLC16A4"
"8786","MAR06045","SLC16A5"
"26608","MAR06046","SLC16A8"
"33003","MAR06046","SLC16A6"
"41990","MAR06046","SLC16A7"
"51482","MAR06046","SLC16A3"
"61165","MAR06046","SLC16A1"
"7925","MAR06046","SLC16A4"
"8787","MAR06046","SLC16A5"
"26609","MAR06047","SLC16A8"
"33004","MAR06047","SLC16A6"
"41991","MAR06047","SLC16A7"
"51483","MAR06047","SLC16A3"
"61166","MAR06047","SLC16A1"
"7926","MAR06047","SLC16A4"
"8788","MAR06047","SLC16A5"
"26610","MAR06048","SLC16A8"
"33005","MAR06048","SLC16A6"
"41992","MAR06048","SLC16A7"
"51484","MAR06048","SLC16A3"
"61167","MAR06048","SLC16A1"
"7927","MAR06048","SLC16A4"
"8789","MAR06048","SLC16A5"
"26611","MAR06049","SLC16A8"
"33006","MAR06049","SLC16A6"
"41993","MAR06049","SLC16A7"
"51485","MAR06049","SLC16A3"
"61168","MAR06049","SLC16A1"
"7928","MAR06049","SLC16A4"
"8790","MAR06049","SLC16A5"
"26612","MAR06050","SLC16A8"
"33007","MAR06050","SLC16A6"
"41994","MAR06050","SLC16A7"
"51486","MAR06050","SLC16A3"
"61169","MAR06050","SLC16A1"
"7929","MAR06050","SLC16A4"
"8791","MAR06050","SLC16A5"
"26613","MAR06051","SLC16A8"
"33008","MAR06051","SLC16A6"
"41995","MAR06051","SLC16A7"
"51487","MAR06051","SLC16A3"
"61170","MAR06051","SLC16A1"
"7930","MAR06051","SLC16A4"
"8792","MAR06051","SLC16A5"
"26614","MAR06052","SLC16A8"
"33009","MAR06052","SLC16A6"
"41996","MAR06052","SLC16A7"
"51488","MAR06052","SLC16A3"
"61171","MAR06052","SLC16A1"
"7931","MAR06052","SLC16A4"
"8793","MAR06052","SLC16A5"
"26615","MAR06053","SLC16A8"
"33010","MAR06053","SLC16A6"
"41997","MAR06053","SLC16A7"
"51489","MAR06053","SLC16A3"
"61172","MAR06053","SLC16A1"
"7932","MAR06053","SLC16A4"
"8794","MAR06053","SLC16A5"
"26616","MAR06054","SLC16A8"
"33011","MAR06054","SLC16A6"
"41998","MAR06054","SLC16A7"
"51490","MAR06054","SLC16A3"
"61173","MAR06054","SLC16A1"
"7933","MAR06054","SLC16A4"
"8795","MAR06054","SLC16A5"
"26617","MAR06055","SLCO4A1"
"33012","MAR06055","SLCO1B1"
"41999","MAR06055","SLCO1C1"
"51491","MAR06055","SLC16A2"
"61174","MAR06055","SLCO3A1"
"26618","MAR06056","SLC16A2"
"26619","MAR06057","SLC17A1"
"26620","MAR06058","SLC26A7"
"33013","MAR06058","SLC26A9"
"26621","MAR06059","SLC19A2"
"33014","MAR06059","SLC19A3"
"26658","MAR06096","SLCO1A2"
"33015","MAR06096","SLCO4A1"
"42000","MAR06096","SLCO1B1"
"51492","MAR06096","SLCO1C1"
"26660","MAR06098","SLCO1A2"
"33016","MAR06098","SLCO4A1"
"42001","MAR06098","SLCO1B3"
"51493","MAR06098","SLCO1B1"
"61175","MAR06098","SLCO1C1"
"26663","MAR06101","SLCO1A2"
"33017","MAR06101","SLCO4A1"
"42002","MAR06101","SLCO2A1"
"51494","MAR06101","SLCO3A1"
"26665","MAR06103","SLCO1B1"
"26666","MAR06104","SLCO1B1"
"26667","MAR06105","SLCO1B1"
"26668","MAR06106","SLCO1B1"
"26669","MAR06107","SLCO1B1"
"26685","MAR06123","SLCO1B1"
"26686","MAR06124","SLCO1B1"
"26687","MAR06125","SLCO1B1"
"26688","MAR06126","SLCO1B1"
"26689","MAR06127","SLCO1B1"
"26690","MAR06128","SLCO1B1"
"26691","MAR06129","SLCO1A2"
"33018","MAR06129","SLCO4A1"
"42003","MAR06129","SLCO1B3"
"51495","MAR06129","SLCO1B1"
"61176","MAR06129","SLCO2B1"
"7934","MAR06129","SLCO1C1"
"8796","MAR06129","SLCO3A1"
"26692","MAR06130","SLCO1B1"
"26693","MAR06131","SLCO1B1"
"26694","MAR06132","SLCO1B1"
"26695","MAR06133","SLCO1B1"
"26696","MAR06134","SLCO1B1"
"26697","MAR06135","SLCO1B1"
"26698","MAR06136","SLCO1B1"
"26699","MAR06137","SLCO1B1"
"26700","MAR06138","SLCO1B1"
"26701","MAR06139","SLCO1B1"
"26702","MAR06140","SLCO1B1"
"26703","MAR06141","SLCO1B1"
"26704","MAR06142","SLCO1B1"
"26705","MAR06143","SLCO1B1"
"26706","MAR06144","SLCO1B1"
"26707","MAR06145","SLCO1B1"
"26708","MAR06146","SLCO1B1"
"26709","MAR06147","SLCO1B1"
"26710","MAR06148","SLCO1B1"
"26711","MAR06149","SLCO1B1"
"26712","MAR06150","SLCO1B1"
"26713","MAR06151","SLCO1B1"
"26714","MAR06152","SLCO1B1"
"26715","MAR06153","SLCO1B1"
"26716","MAR06154","SLCO1B1"
"26717","MAR06155","SLCO1B1"
"26718","MAR06156","SLCO1B1"
"26719","MAR06157","SLCO1B1"
"26720","MAR06158","SLCO1B1"
"26721","MAR06159","SLCO1B1"
"26722","MAR06160","SLCO1B1"
"26723","MAR06161","SLCO1B1"
"26724","MAR06162","SLCO1B1"
"26725","MAR06163","SLCO1B1"
"26726","MAR06164","SLCO1B1"
"26727","MAR06165","SLCO1B1"
"26728","MAR06166","SLCO1B1"
"26729","MAR06167","SLCO1B1"
"26730","MAR06168","SLCO1B1"
"26731","MAR06169","SLCO1B1"
"26732","MAR06170","SLCO1B1"
"26733","MAR06171","SLCO1B1"
"26734","MAR06172","SLCO1B1"
"26735","MAR06173","SLCO1B1"
"26736","MAR06174","SLCO1B1"
"26737","MAR06175","SLCO1B1"
"26738","MAR06176","SLCO1B1"
"26739","MAR06177","SLCO1B1"
"26740","MAR06178","SLCO1B1"
"26741","MAR06179","SLCO1B1"
"26742","MAR06180","SLCO1B1"
"26743","MAR06181","SLCO1B1"
"26744","MAR06182","SLCO1B1"
"26745","MAR06183","SLCO1B1"
"26746","MAR06184","SLCO1B1"
"26747","MAR06185","SLCO1B1"
"26748","MAR06186","SLCO1B1"
"26749","MAR06187","SLCO1B1"
"26750","MAR06188","SLCO1B1"
"26751","MAR06189","SLCO1B1"
"26752","MAR06190","SLCO1B1"
"26753","MAR06191","SLCO1B1"
"26754","MAR06192","SLCO1B1"
"26755","MAR06193","SLCO1B1"
"26756","MAR06194","SLCO1B1"
"26757","MAR06195","SLCO1B1"
"26758","MAR06196","SLCO1B1"
"26759","MAR06197","SLCO1B1"
"26760","MAR06198","SLCO1B1"
"26761","MAR06199","SLCO1B1"
"26762","MAR06200","SLCO1B1"
"26763","MAR06201","SLCO1B1"
"26764","MAR06202","SLCO1B1"
"26765","MAR06203","SLCO1B1"
"26766","MAR06204","SLCO1B1"
"26767","MAR06205","SLCO1B1"
"26768","MAR06206","SLCO1B1"
"26769","MAR06207","SLCO1B1"
"26770","MAR06208","SLCO1B1"
"26771","MAR06209","SLCO1B1"
"26772","MAR06210","SLCO1B1"
"26773","MAR06211","SLCO1B1"
"26774","MAR06212","SLCO1B1"
"26775","MAR06213","SLCO1B1"
"26780","MAR06218","SLCO2A1"
"26781","MAR06219","SLCO2A1"
"26782","MAR06220","SLCO2A1"
"26783","MAR06221","SLCO2A1"
"26784","MAR06222","SLCO2A1"
"26785","MAR06223","SLCO2A1"
"26786","MAR06224","SLCO2A1"
"26787","MAR06225","SLCO2A1"
"26788","MAR06226","SLCO2A1"
"26789","MAR06227","SLCO2A1"
"26790","MAR06228","SLCO2A1"
"26791","MAR06229","SLCO2A1"
"26792","MAR06230","SLCO2A1"
"26793","MAR06231","SLCO2A1"
"26794","MAR06232","SLCO2A1"
"26795","MAR06233","SLCO2A1"
"26796","MAR06234","SLCO2A1"
"26797","MAR06235","SLCO2A1"
"26798","MAR06236","SLCO2A1"
"26799","MAR06237","SLCO2A1"
"26800","MAR06238","SLCO2A1"
"26801","MAR06239","SLCO2A1"
"26802","MAR06240","SLCO2A1"
"26803","MAR06241","SLC22A2"
"33019","MAR06241","SLC22A3"
"42004","MAR06241","SLC29A4"
"51496","MAR06241","SLC22A1"
"26804","MAR06242","SLC6A2"
"33020","MAR06242","SLC6A3"
"26805","MAR06243","SLC22A2"
"33021","MAR06243","SLC22A3"
"42005","MAR06243","SLC29A4"
"51497","MAR06243","SLC22A1"
"26806","MAR06244","SLC6A4"
"26807","MAR06245","SLC22A2"
"33022","MAR06245","SLC22A3"
"42006","MAR06245","SLC22A1"
"26808","MAR06246","SLC22A2"
"33023","MAR06246","SLC22A3"
"42007","MAR06246","SLCO2A1"
"51498","MAR06246","SLC22A1"
"61177","MAR06246","SLCO3A1"
"26809","MAR06247","SLC22A2"
"33024","MAR06247","SLC22A3"
"42008","MAR06247","SLCO2A1"
"51499","MAR06247","SLC22A1"
"26810","MAR06248","SLCO2B1"
"26811","MAR06249","ABCC11"
"33025","MAR06249","SLCO2B1"
"26812","MAR06250","SLC22A10"
"26815","MAR06253","SLC22A10"
"26816","MAR06254","SLC22A10"
"26817","MAR06255","SLC22A10"
"26818","MAR06256","SLC22A10"
"26819","MAR06257","SLCO4A1"
"33026","MAR06257","SLCO1B1"
"42009","MAR06257","SLCO1C1"
"26820","MAR06258","SLC22A10"
"26821","MAR06259","SLC22A10"
"26823","MAR06261","SLC22A10"
"26824","MAR06262","SLC22A10"
"26825","MAR06263","SLC22A10"
"26826","MAR06264","SLC22A10"
"26827","MAR06265","SLC22A10"
"26828","MAR06266","SLCO2A1"
"26829","MAR06267","SLC22A10"
"26830","MAR06268","SLCO2A1"
"33027","MAR06268","SLCO3A1"
"26832","MAR06270","SLC22A10"
"26833","MAR06271","SLC22A10"
"26834","MAR06272","SLC22A10"
"26835","MAR06273","SLC22A10"
"26836","MAR06274","SLC22A10"
"26837","MAR06275","SLC23A2"
"33028","MAR06275","SLC23A1"
"26838","MAR06351","SLC28A2"
"33029","MAR06351","SLC28A1"
"26839","MAR06352","SLC28A2"
"33030","MAR06352","SLC28A1"
"42010","MAR06352","SLC28A3"
"26840","MAR06353","SLC28A2"
"33031","MAR06353","SLC28A3"
"26841","MAR06354","SLC28A2"
"33032","MAR06354","SLC28A3"
"26842","MAR06355","SLC28A3"
"26843","MAR06356","SLC28A3"
"26844","MAR06357","SLC28A3"
"26845","MAR06358","SLC28A3"
"26846","MAR06359","SLC28A3"
"26847","MAR06360","SLC28A3"
"26848","MAR06361","SLC28A3"
"26849","MAR06362","SLC28A3"
"26850","MAR06363","SLC28A3"
"26851","MAR06364","SLC28A3"
"26852","MAR06365","SLC28A3"
"26853","MAR06366","SLC29A1"
"33033","MAR06366","SLC29A2"
"26854","MAR06367","SLC29A1"
"33034","MAR06367","SLC29A2"
"26855","MAR06368","SLC29A1"
"33035","MAR06368","SLC29A2"
"26856","MAR06369","SLC29A1"
"33036","MAR06369","SLC29A2"
"26857","MAR06370","SLC30A1"
"26858","MAR06371","SLC36A1"
"33037","MAR06371","SLC36A4"
"42011","MAR06371","SLC36A3"
"51500","MAR06371","SLC36A2"
"26859","MAR06372","SLC36A1"
"33038","MAR06372","SLC36A4"
"42012","MAR06372","SLC36A3"
"51501","MAR06372","SLC36A2"
"26860","MAR06373","SLC36A1"
"33039","MAR06373","SLC36A4"
"42013","MAR06373","SLC36A3"
"51502","MAR06373","SLC36A2"
"26861","MAR06374","SLC36A1"
"33040","MAR06374","SLC36A4"
"42014","MAR06374","SLC36A3"
"51503","MAR06374","SLC36A2"
"26862","MAR06375","SLC6A15"
"33041","MAR06375","SLC38A1"
"42015","MAR06375","SLC38A2"
"51504","MAR06375","SLC38A4"
"61178","MAR06375","SLC6A19"
"7935","MAR06375","SLC6A14"
"26863","MAR06377","SLC6A15"
"33042","MAR06377","SLC1A5"
"42016","MAR06377","SLC1A4"
"51505","MAR06377","SLC38A4"
"61179","MAR06377","SLC6A19"
"7936","MAR06377","SLC6A14"
"26864","MAR06379","SLC7A2"
"33043","MAR06379","SLC7A1"
"42017","MAR06379","SLC7A3"
"26865","MAR06380","SLC38A5"
"33044","MAR06380","SLC38A1"
"42018","MAR06380","SLC38A2"
"51506","MAR06380","SLC38A4"
"61180","MAR06380","SLC6A14"
"26866","MAR06381","SLC38A5"
"33045","MAR06381","SLC38A1"
"42019","MAR06381","SLC38A2"
"51507","MAR06381","SLC38A4"
"61181","MAR06381","SLC6A14"
"26867","MAR06382","SLC38A5"
"33046","MAR06382","SLC38A1"
"42020","MAR06382","SLC38A2"
"51508","MAR06382","SLC38A4"
"61182","MAR06382","SLC6A14"
"26868","MAR06383","SLC7A2"
"33047","MAR06383","SLC7A1"
"42021","MAR06383","SLC7A3"
"26869","MAR06384","SLC38A5"
"33048","MAR06384","SLC38A2"
"42022","MAR06384","SLC6A14"
"26870","MAR06392","ABCC1"
"26871","MAR06406","SLC5A6"
"26877","MAR06512","MTREX"
"33049","MAR06512","PHPT1"
"42023","MAR06512","MTMR1"
"51509","MAR06512","PLPP1"
"61183","MAR06512","TRNT1"
"7937","MAR06512","MTMR2"
"8797","MAR06512","SGPP1"
"9655","MAR06512","MTMR6"
"10609","MAR06512","PLPP2"
"11433","MAR06512","PLPP3"
"12415","MAR06512","SGPP2"
"26880","MAR06524","SLC12A3"
"26881","MAR06525","SLC4A1"
"33050","MAR06525","CELSR3"
"42024","MAR06525","SLC26A4"
"51510","MAR06525","SLC26A3"
"61184","MAR06525","SLC4A9"
"7938","MAR06525","SLC4A3"
"8798","MAR06525","SLC4A2"
"26882","MAR06526","SLC12A2"
"33051","MAR06526","SLC12A1"
"26883","MAR06527","SLC12A7"
"33052","MAR06527","SLC12A4"
"42025","MAR06527","SLC12A6"
"26884","MAR06529","SLC26A4"
"26885","MAR06530","SLC26A6"
"26886","MAR06531","SLC26A6"
"26887","MAR06532","SLC4A8"
"33053","MAR06532","SLC4A10"
"42026","MAR06532","SLC26A6"
"26888","MAR06533","SLC26A6"
"26889","MAR06534","SLC26A8"
"33054","MAR06534","SLC26A7"
"42027","MAR06534","SLC26A2"
"51511","MAR06534","SLC26A9"
"26891","MAR06732","SLC22A2"
"33055","MAR06732","SLC22A3"
"42028","MAR06732","SLC29A4"
"51512","MAR06732","SLC22A1"
"26892","MAR06733","SLC6A2"
"33056","MAR06733","SLC6A3"
"26893","MAR06989","SLC5A5"
"26912","MAR07499","SLC29A2"
"26917","MAR07568","HAS3"
"33057","MAR07568","HAS1"
"42029","MAR07568","HAS2"
"26918","MAR07569","HAS3"
"33058","MAR07569","HAS1"
"42030","MAR07569","HAS2"
"26923","MAR07629","ATP2C1"
"33059","MAR07629","ATP2B4"
"42031","MAR07629","ATP2C2"
"51513","MAR07629","ATP2B3"
"61185","MAR07629","ATP2B1"
"7939","MAR07629","ATP2A3"
"8799","MAR07629","ATP2B2"
"9656","MAR07629","ATP2A2"
"10611","MAR07629","ATP2A1"
"26924","MAR07630","SLC8A3"
"33060","MAR07630","SLC8A2"
"42032","MAR07630","SLC8A1"
"26925","MAR07631","SLC24A1"
"33061","MAR07631","SLC24A4"
"42033","MAR07631","SLC24A2"
"51514","MAR07631","SLC24A3"
"61186","MAR07631","SLC24A5"
"26926","MAR07632","SLC24A1"
"33062","MAR07632","SLC24A2"
"26927","MAR07633","SLC18A1"
"33063","MAR07633","SLC18A2"
"26928","MAR07634","SLC18A1"
"33064","MAR07634","SLC18A2"
"26929","MAR07635","SLC18A1"
"33065","MAR07635","SLC18A2"
"26930","MAR07636","SLC18A1"
"33066","MAR07636","SLC18A2"
"26931","MAR07637","SLC18A1"
"33067","MAR07637","SLC18A2"
"26932","MAR07639","SLC1A3"
"33068","MAR07639","SLC1A6"
"42034","MAR07639","SLC1A1"
"51515","MAR07639","SLC1A2"
"61187","MAR07639","SLC1A7"
"26935","MAR07645","SLC36A1"
"26936","MAR07650","ABCC4"
"26937","MAR07651","SLCO1A2"
"33069","MAR07651","SLCO4A1"
"42035","MAR07651","SLCO1B3"
"51516","MAR07651","SLCO1B1"
"61188","MAR07651","SLCO1C1"
"26939","MAR07666","SLC16A1"
"26940","MAR07667","SLC5A6"
"26942","MAR07680","SLC15A1"
"33070","MAR07680","SLC15A2"
"26943","MAR07681","SLC18A3"
"26944","MAR07682","SLC19A1"
"26945","MAR07683","SLC19A1"
"26946","MAR07684","SLC19A1"
"26947","MAR07685","SLC19A1"
"26948","MAR07686","SLC19A1"
"26949","MAR07687","SLC19A1"
"26951","MAR07691","ABCC5"
"33071","MAR07691","ABCC11"
"42036","MAR07691","ABCC4"
"26952","MAR07692","ABCC5"
"33072","MAR07692","ABCC11"
"42037","MAR07692","ABCC4"
"26953","MAR07699","SLC13A1"
"33073","MAR07699","SLC13A4"
"26954","MAR07700","SLC13A1"
"26955","MAR07734","SLC5A7"
"26956","MAR07735","SLC46A1"
"26957","MAR07736","SLC32A1"
"26958","MAR07737","SLC32A1"
"26959","MAR07738","SLC32A1"
"26960","MAR07739","SLC5A8"
"26969","MAR07902","SLC26A3"
"33074","MAR07902","SLC26A1"
"42038","MAR07902","SLC26A2"
"26971","MAR07904","SLC13A1"
"26972","MAR07905","CD38"
"26974","MAR07946","SLC10A1"
"33075","MAR07946","SLC10A2"
"26977","MAR07964","ABCC3"
"26978","MAR07967","ABCC1"
"26982","MAR07982","ABCC1"
"26983","MAR07986","ABCC1"
"26984","MAR07990","ABCC1"
"26992","MAR08031","SLC22A2"
"27010","MAR08075","SLC16A7"
"33076","MAR08075","SLC16A3"
"42039","MAR08075","SLC16A1"
"27011","MAR08076","SLC4A7"
"33077","MAR08076","SLC4A4"
"42040","MAR08076","SLC4A9"
"51517","MAR08076","SLC4A5"
"27012","MAR08077","SLC4A7"
"33078","MAR08077","SLC4A4"
"42041","MAR08077","SLC4A9"
"51518","MAR08077","SLC4A5"
"27015","MAR08081","SLC16A10"
"27028","MAR08225","SLC33A1"
"27052","MAR08354","SLC36A1"
"27053","MAR08364","SLC16A7"
"33079","MAR08364","SLC16A3"
"42042","MAR08364","SLC16A1"
"27057","MAR08429","SLC6A8"
"27058","MAR08515","SLC5A8"
"27061","MAR08551","SLCO1B3"
"33080","MAR08551","SLCO1B1"
"27063","MAR08586","SLC2A3"
"27072","MAR08629","SLC6A14"
"27073","MAR08631","SLCO1B1"
"27074","MAR08632","SLCO1B3"
"33081","MAR08632","SLCO1B1"
"27075","MAR08633","ABCC1"
"27076","MAR08635","SLCO1B1"
"27077","MAR08636","SLC29A2"
"27079","MAR08658","ABCB11"
"33082","MAR08658","ABCC3"
"27080","MAR08659","SLCO1A2"
"33083","MAR08659","SLCO1B3"
"42043","MAR08659","SLCO1B1"
"27081","MAR08660","SLC10A1"
"33084","MAR08660","SLC10A2"
"27082","MAR08670","SLC26A6"
"27083","MAR08671","SLC26A4"
"27084","MAR08676","SLC22A4"
"33085","MAR08676","SLC22A5"
"27085","MAR08677","SLC22A16"
"33086","MAR08677","SLC22A15"
"42044","MAR08677","SLC22A5"
"27096","MAR08730","SLC52A3"
"27097","MAR08732","SLC13A1"
"27181","MAR08735","SLC38A5"
"27182","MAR08736","SLC26A6"
"27186","MAR08846","SLC2A3"
"33087","MAR08846","SLC2A1"
"42045","MAR08846","SLC2A4"
"27187","MAR08847","SLCO1A2"
"33088","MAR08847","SLCO1B3"
"42046","MAR08847","SLCO1B1"
"51519","MAR08847","SLCO2B1"
"27189","MAR08850","ABCC1"
"27191","MAR08853","SLC13A1"
"27193","MAR08861","SLC14A2"
"33089","MAR08861","SLC14A1"
"27198","MAR08867","SLC2A3"
"27201","MAR08872","SLC5A9"
"27203","MAR08876","SLC5A9"
"27204","MAR08877","SLC5A1"
"27206","MAR08879","SLCO1A2"
"33090","MAR08879","SLCO1B3"
"42047","MAR08879","SLCO1B1"
"27209","MAR08884","SLC5A1"
"27210","MAR08889","SLC6A12"
"27220","MAR08911","SLC5A3"
"27221","MAR08912","SLC5A11"
"33091","MAR08912","SLC5A3"
"27223","MAR08917","SLC22A5"
"33092","MAR08917","SLC6A14"
"27226","MAR08924","SLC5A5"
"27227","MAR08925","SLC9A3"
"33093","MAR08925","SLC9A1"
"42048","MAR08925","SLC9A2"
"27229","MAR08929","SLC36A1"
"27230","MAR08930","SLC5A6"
"27232","MAR08932","SLCO2A1"
"27233","MAR08933","SLCO2A1"
"27234","MAR08934","ABCC4"
"27235","MAR08935","ABCC4"
"27236","MAR08936","SLCO2A1"
"27238","MAR08938","SLC6A7"
"27239","MAR08939","SLC27A6"
"33094","MAR08939","SLC27A1"
"42049","MAR08939","SLC27A3"
"51520","MAR08939","SLC27A4"
"27240","MAR08940","SLC27A6"
"33095","MAR08940","SLC27A1"
"42050","MAR08940","SLC27A3"
"51521","MAR08940","SLC27A4"
"27241","MAR08941","SLC27A6"
"33096","MAR08941","SLC27A1"
"42051","MAR08941","SLC27A3"
"51522","MAR08941","SLC27A4"
"27242","MAR08942","SLC27A6"
"33097","MAR08942","SLC27A1"
"42052","MAR08942","SLC27A3"
"51523","MAR08942","SLC27A4"
"27243","MAR08943","SLC27A6"
"33098","MAR08943","SLC27A1"
"42053","MAR08943","SLC27A3"
"51524","MAR08943","SLC27A4"
"27244","MAR08944","SLC27A6"
"33099","MAR08944","SLC27A1"
"42054","MAR08944","SLC27A3"
"51525","MAR08944","SLC27A4"
"27245","MAR08945","SLC27A6"
"33111","MAR08945","SLC27A1"
"42055","MAR08945","SLC27A3"
"51526","MAR08945","SLC27A4"
"27246","MAR08946","SLC27A6"
"33112","MAR08946","SLC27A1"
"42056","MAR08946","SLC27A3"
"51527","MAR08946","SLC27A4"
"27247","MAR08947","SLC27A6"
"33113","MAR08947","SLC27A1"
"42057","MAR08947","SLC27A3"
"51528","MAR08947","SLC27A4"
"27262","MAR09192","SLC22A2"
"33114","MAR09192","SLC29A4"
"42058","MAR09192","SLC22A1"
"27263","MAR09193","SLC22A2"
"27264","MAR09195","SLC22A2"
"27265","MAR09196","HEPH"
"33115","MAR09196","SLC40A1"
"27266","MAR09197","SLC40A1"
"27267","MAR09198","SLC2A9"
"27268","MAR09590","SLC26A1"
"33116","MAR09590","SLC26A2"
"27269","MAR09591","SLC6A9"
"33117","MAR09591","SLC6A14"
"27270","MAR09592","SLC6A9"
"33118","MAR09592","SLC6A14"
"27271","MAR09593","SLC6A9"
"33119","MAR09593","SLC6A14"
"27272","MAR09594","SLC6A9"
"33120","MAR09594","SLC6A14"
"27273","MAR09595","SLC6A9"
"33121","MAR09595","SLC6A14"
"27274","MAR09596","SLC6A9"
"33122","MAR09596","SLC6A14"
"27275","MAR09597","SLC6A9"
"33123","MAR09597","SLC6A14"
"27276","MAR09598","SLC6A9"
"33124","MAR09598","SLC6A14"
"27277","MAR09599","SLC6A9"
"33125","MAR09599","SLC6A14"
"27278","MAR09600","SLC6A9"
"33126","MAR09600","SLC6A14"
"27279","MAR09601","SLC6A6"
"33127","MAR09601","SLC6A9"
"42059","MAR09601","SLC6A14"
"27280","MAR09602","SLC6A12"
"27281","MAR09603","SLC6A12"
"27282","MAR09604","SLC6A12"
